City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Dafeng,23.4517,108.5881,29.05,69,54,0.95,CN,1663501710
1,Nuuk,64.1835,-51.7216,10.34,66,40,2.57,GL,1663501711
2,Airai,-8.9266,125.4092,16.52,71,90,0.78,TL,1663501712
3,Arraial Do Cabo,-22.9661,-42.0278,18.92,82,40,3.6,BR,1663501714
4,Te Anau,-45.4167,167.7167,5.22,93,100,1.16,NZ,1663501715
5,Lourdes,43.1,-0.05,22.71,35,0,2.57,FR,1663501716
6,Kapustin Yar,48.5831,45.7372,30.65,34,93,6.19,RU,1663501718
7,Carutapera,-1.195,-46.02,28.96,65,24,4.49,BR,1663501719
8,Puerto Ayora,-0.7393,-90.3518,19.19,91,66,2.24,EC,1663501721
9,Vaini,-21.2,-175.2,23.09,83,40,5.14,TO,1663501722
10,Hofn,64.2539,-15.2082,7.43,76,98,0.24,IS,1663501723
11,Karasjok,69.4719,25.5112,5.38,96,100,4.97,NO,1663501725
12,Rikitea,-23.1203,-134.9692,21.87,64,38,8.01,PF,1663501726
13,Bredasdorp,-34.5322,20.0403,14.92,64,89,6.55,ZA,1663501727
14,Aklavik,68.2191,-135.0107,6.65,74,87,2.24,CA,1663501728
15,Ilulissat,69.2167,-51.1,5.01,93,100,5.14,GL,1663501730
16,Kodiak,57.79,-152.4072,8.73,81,0,3.09,US,1663501731
17,Kruisfontein,-34.0033,24.7314,14.94,90,100,5.15,ZA,1663501732
18,Atar,20.5169,-13.0499,32.63,27,82,3.95,MR,1663501733
19,Abu Samrah,35.3029,37.1841,36.53,12,0,4.86,SY,1663501735
20,Eravur,7.7733,81.6095,28.27,74,86,4.82,LK,1663501736
21,Kapaa,22.0752,-159.319,26.18,84,20,5.14,US,1663501737
22,Prince Rupert,54.3161,-130.3201,10.83,98,0,2.57,CA,1663501738
23,Khatanga,71.9667,102.5,-2.29,78,13,3.95,RU,1663501740
24,Peniche,39.3558,-9.3811,28.38,65,77,1.79,PT,1663501741
25,Barrow,71.2906,-156.7887,0.01,100,100,8.75,US,1663501742
26,Bom Jesus,-9.0744,-44.3586,31.42,29,6,5.26,BR,1663501743
27,Caravelas,-17.7125,-39.2481,20.59,80,100,3.46,BR,1663501745
28,Sungaipenuh,-2.0833,101.3833,18.71,98,100,0.65,ID,1663501746
29,Atuona,-9.8,-139.0333,24.6,77,19,10.7,PF,1663501748
30,Erenhot,43.6475,111.9767,15.47,25,88,5.8,CN,1663501749
31,Mataura,-46.1927,168.8643,8.04,95,98,1.82,NZ,1663501750
32,Santa Ana Arriba,19.3,-70.35,25.57,80,86,1.45,DO,1663501752
33,Upernavik,72.7868,-56.1549,2.95,72,100,5.06,GL,1663501753
34,San Quintin,30.4833,-115.95,18.83,81,67,3.45,MX,1663501755
35,Ullapool,57.8987,-5.1604,14.08,79,98,2.37,GB,1663501757
36,Kenai,60.5544,-151.2583,11.05,80,0,5.14,US,1663501759
37,Mar Del Plata,-38.0023,-57.5575,15.61,95,100,4.47,AR,1663501760
38,Saint-Philippe,-21.3585,55.7679,25.77,78,9,6.44,RE,1663501762
39,Port Elizabeth,-33.918,25.5701,16.17,91,75,5.14,ZA,1663501763
40,East London,-33.0153,27.9116,16.52,94,100,6.17,ZA,1663501764
41,Stykkisholmur,65.0757,-22.7297,10.66,68,40,2.47,IS,1663501765
42,Bluff,-46.6,168.3333,8.22,84,99,3.97,NZ,1663501767
43,Hauterive,46.0901,3.4459,17.42,32,0,2.16,FR,1663501769
44,Trairi,-3.2778,-39.2689,29.45,59,43,6.34,BR,1663501770
45,Yellowknife,62.456,-114.3525,6.29,100,75,2.57,CA,1663501772
46,Rampura,30.25,75.2333,33.35,46,0,2.8,IN,1663501773
47,Avarua,-21.2078,-159.775,22.03,94,75,1.03,CK,1663501774
48,Leningradskiy,69.3833,178.4167,0.57,97,100,10.31,RU,1663501776
49,Punta Arenas,-53.15,-70.9167,0.06,86,0,3.09,CL,1663501777
50,Fortuna,40.5982,-124.1573,13.32,90,100,2.11,US,1663501778
51,Albany,42.6001,-73.9662,17.93,93,41,1.22,US,1663501779
52,El Dorado,38.7666,-120.5177,13.13,92,89,0.86,US,1663501781
53,Erdenet,49.0333,104.0833,3.89,61,11,0.9,MN,1663501782
54,San Policarpo,12.1791,125.5072,27.16,80,100,1.88,PH,1663501784
55,Ushuaia,-54.8,-68.3,2.81,65,0,2.57,AR,1663501785
56,Hithadhoo,-0.6,73.0833,28.13,71,46,3.4,MV,1663501786
57,Qaanaaq,77.484,-69.3632,-4.9,55,0,3.42,GL,1663501787
58,Byron Bay,-28.65,153.6167,16.98,56,63,3.44,AU,1663501789
59,Saint George,37.1041,-113.5841,22.36,50,0,5.14,US,1663501790
60,Esperance,-33.8667,121.9,12.55,87,59,2.68,AU,1663501792
61,Lethem,3.3803,-59.7968,26.83,77,67,3.35,GY,1663501793
62,Hanzhong,33.0728,107.0303,22.68,87,95,1.24,CN,1663501794
63,Gigmoto,13.7796,124.39,27.58,82,99,2.29,PH,1663501796
64,Hammerfest,70.6634,23.6821,7.25,93,75,7.2,NO,1663501797
65,Myitkyina,25.3833,97.4,26.85,89,28,0.85,MM,1663501798
66,Imeni Babushkina,59.7573,43.1285,15.15,58,55,4.04,RU,1663501800
67,Kargil,34.5667,76.1,16.79,15,5,1.41,IN,1663501801
68,Busselton,-33.65,115.3333,12.48,78,47,4.79,AU,1663501802
69,Dikson,73.5069,80.5464,0.29,78,16,9.04,RU,1663501803
70,Grootfontein,-19.5667,18.1167,31.76,12,0,1.54,NA,1663501805
71,Chapais,49.7834,-74.8492,4.88,66,94,2.82,CA,1663501806
72,Grand-Santi,4.25,-54.3833,25.63,83,76,1.6,GF,1663501807
73,Caucaia,-3.7361,-38.6531,25.97,78,75,6.69,BR,1663501808
74,Victoria,22.2855,114.1577,30.74,87,85,2.68,HK,1663501809
75,Longyearbyen,78.2186,15.6401,-0.09,74,75,4.12,SJ,1663501811
76,Umm Kaddadah,13.6017,26.6876,34.12,31,94,1.23,SD,1663501812
77,Hobart,-42.8794,147.3294,10.92,78,75,3.6,AU,1663501813
78,Fort Frances,48.5999,-93.4003,14.12,94,100,2.06,CA,1663501815
79,Port Alfred,-33.5906,26.891,16.21,88,100,1.34,ZA,1663501817
80,Cidreira,-30.1811,-50.2056,16.95,69,86,6.44,BR,1663501818
